Gene.stable.ID,Gene.name
ENSMUSG00000111315,GM47473
ENSMUSG00000083707,GM13592
ENSMUSG00000112757,GM10743
ENSMUSG00000110296,GM45533
ENSMUSG00000080766,GM13593
ENSMUSG00000085507,GM2709
ENSMUSG00000101400,GM29596
ENSMUSG00000044544,4921513I03RIK
ENSMUSG00000075137,OLFR1163
ENSMUSG00000066269,OLFR575
ENSMUSG00000103051,GM7871
ENSMUSG00000057346,APOL9A
ENSMUSG00000111907,GM48202
ENSMUSG00000002477,SNRPD1
ENSMUSG00000075136,OLFR1164
ENSMUSG00000094926,GM16533
ENSMUSG00000050530,FAM171A1
ENSMUSG00000015355,CD48
ENSMUSG00000023993,TREML1
ENSMUSG00000043354,OLFR577
ENSMUSG00000032735,ABLIM3
ENSMUSG00000081691,GM11965
ENSMUSG00000081021,GM11964
ENSMUSG00000104386,GM37030
ENSMUSG00000073962,OLFR576
ENSMUSG00000086015,4833417C18RIK
ENSMUSG00000029660,TEX26
ENSMUSG00000110410,4933421D24RIK
ENSMUSG00000046070,IGFALS
ENSMUSG00000085578,GM11527
ENSMUSG00000110258,GM45406
ENSMUSG00000029344,TPST2
ENSMUSG00000041120,NBL1
ENSMUSG00000086255,GM11534
ENSMUSG00000103883,GM37010
ENSMUSG00000013418,B4GALNT2
ENSMUSG00000030173,KLRA5
ENSMUSG00000021541,TRPC7
ENSMUSG00000020257,WDR82
ENSMUSG00000085079,KHDC1B
ENSMUSG00000108575,GM35665
ENSMUSG00000085546,GM14252
ENSMUSG00000097888,GM26682
ENSMUSG00000085679,GM16328
ENSMUSG00000082321,GM14253
ENSMUSG00000081751,GM14251
ENSMUSG00000046229,SCAND1
ENSMUSG00000045792,OLFR578
ENSMUSG00000037722,GNPNAT1
ENSMUSG00000059409,PPP2R5D
ENSMUSG00000013701,TIMM23
ENSMUSG00000112817,GM48122
ENSMUSG00000032224,FAM81A
ENSMUSG00000116384,GM35912
ENSMUSG00000110033,AC161520.1
ENSMUSG00000116247,VMN1R-PS137
ENSMUSG00000053863,MEPE
ENSMUSG00000018899,IRF1
ENSMUSG00000018412,KANSL1
ENSMUSG00000079009,GM14139
ENSMUSG00000085693,GM13371
ENSMUSG00000083120,GM15854
ENSMUSG00000103044,GM37307
ENSMUSG00000104251,GM18036
ENSMUSG00000026656,FCGR2B
ENSMUSG00000058838,RPS27A-PS2
ENSMUSG00000020698,CCT6B
ENSMUSG00000032258,LCA5
ENSMUSG00000047261,GAP43
ENSMUSG00000061769,KLRA6
ENSMUSG00000046590,OLFR1165-PS
ENSMUSG00000060336,ZFP937
ENSMUSG00000111664,GM48865
ENSMUSG00000063450,SYNE2
ENSMUSG00000000295,HDDC2
ENSMUSG00000107164,4933425D22RIK
ENSMUSG00000073490,IFI207
ENSMUSG00000110694,GM45782
ENSMUSG00000079008,GM14124
ENSMUSG00000069925,4932416K20RIK
ENSMUSG00000030345,DYRK4
ENSMUSG00000084320,GM14125
ENSMUSG00000063576,KLHDC3
ENSMUSG00000033854,KCNK10
ENSMUSG00000066652,LEFTY2
ENSMUSG00000086425,F730016J06RIK
ENSMUSG00000087553,5730412P04RIK
ENSMUSG00000079563,PGLYRP2
ENSMUSG00000112100,GM9102
ENSMUSG00000094326,GM10045
ENSMUSG00000105483,4930553I04RIK
ENSMUSG00000059900,TMEM40
ENSMUSG00000029423,PIWIL1
ENSMUSG00000073489,IFI204
ENSMUSG00000028558,CALR4
ENSMUSG00000052712,BC004004
ENSMUSG00000116781,GM49712
ENSMUSG00000116778,GM49713
ENSMUSG00000084217,GM15488
ENSMUSG00000071203,NAIP5
ENSMUSG00000022770,DLG1
ENSMUSG00000028675,PNRC2
ENSMUSG00000063364,3300002I08RIK
ENSMUSG00000022360,ATAD2
ENSMUSG00000095315,GM10130
ENSMUSG00000083077,GM14126
ENSMUSG00000083964,GM14122
ENSMUSG00000085955,GM12356
ENSMUSG00000017221,PSMD3
ENSMUSG00000068130,ZFP442
ENSMUSG00000024077,STRN
ENSMUSG00000033819,PPP1R16A
ENSMUSG00000111596,GM8058
ENSMUSG00000086480,GM15287
ENSMUSG00000113613,GM40893
ENSMUSG00000026520,PYCR2
ENSMUSG00000083430,GM13006
ENSMUSG00000113927,5330409N07RIK
ENSMUSG00000107964,4930447C11RIK
ENSMUSG00000062585,CNR2
ENSMUSG00000026315,SERPINB8
ENSMUSG00000060534,DCC
ENSMUSG00000099718,GM2087
ENSMUSG00000116441,GM49554
ENSMUSG00000050608,MICOS10
ENSMUSG00000002768,MEA1
ENSMUSG00000030292,SMCO2
ENSMUSG00000082740,GM14127
ENSMUSG00000083203,GM11421
ENSMUSG00000083371,GM11422
ENSMUSG00000081828,GM11420
ENSMUSG00000110143,OLFR580-PS1
ENSMUSG00000025401,MYO1A
ENSMUSG00000116246,GM4106
ENSMUSG00000054405,DNAJC8
ENSMUSG00000109845,OLFR581-PS1
ENSMUSG00000116150,GM3711
ENSMUSG00000116388,GM3749
ENSMUSG00000116521,GM4111
ENSMUSG00000027298,TYRO3
ENSMUSG00000114618,GM41183
ENSMUSG00000067377,TSPAN6
ENSMUSG00000083238,HSPE1-PS4
ENSMUSG00000046962,ZBTB21
ENSMUSG00000056167,CNOT10
ENSMUSG00000111750,GM47886
ENSMUSG00000049680,URGCP
ENSMUSG00000087323,GM14170
ENSMUSG00000047844,BEX4
ENSMUSG00000117872,A530088E08RIK
ENSMUSG00000086391,1700042O10RIK
ENSMUSG00000036907,C1QL2
ENSMUSG00000084017,RPL21-PS9
ENSMUSG00000059058,TMA7-PS
ENSMUSG00000103676,GM38204
ENSMUSG00000104224,GM37693
ENSMUSG00000102869,2900097C17RIK
ENSMUSG00000104440,GM19030
ENSMUSG00000116679,GM49739
ENSMUSG00000020182,DDC
ENSMUSG00000083782,GM11660
ENSMUSG00000101275,1700012E03RIK
ENSMUSG00000061272,GM14173
ENSMUSG00000111157,GM47887
ENSMUSG00000052142,RASAL3
ENSMUSG00000110667,GM45720
ENSMUSG00000117285,GM49863
ENSMUSG00000110662,GM45722
ENSMUSG00000087480,GM15910
ENSMUSG00000110548,GM45721
ENSMUSG00000038195,RILP
ENSMUSG00000117192,GM18649
ENSMUSG00000110793,GM7395
ENSMUSG00000031841,CDH13
ENSMUSG00000086444,GM15961
ENSMUSG00000051236,MSRB3
ENSMUSG00000063415,CYP26B1
ENSMUSG00000086548,GM12972
ENSMUSG00000099928,GM29202
ENSMUSG00000013415,IGF2BP1
ENSMUSG00000093722,GM20612
ENSMUSG00000032089,IL10RA
ENSMUSG00000034063,4930590J08RIK
ENSMUSG00000045975,C2CD2
ENSMUSG00000019810,FUCA2
ENSMUSG00000039414,HEATR5B
ENSMUSG00000103222,GM37729
ENSMUSG00000026715,SERPINC1
ENSMUSG00000085398,4931406G06RIK
ENSMUSG00000108625,GM44711
ENSMUSG00000039851,4932438H23RIK
ENSMUSG00000075070,4932412D23RIK
ENSMUSG00000025081,TDRD1
ENSMUSG00000087552,GM15819
ENSMUSG00000047881,RELL1
ENSMUSG00000083462,GM12501
ENSMUSG00000087042,GM11611
ENSMUSG00000081176,H3F3A-PS2
ENSMUSG00000105961,GM40123
ENSMUSG00000116981,GM49611
ENSMUSG00000038453,SRCIN1
ENSMUSG00000017801,MLX
ENSMUSG00000061947,SERPINA10
ENSMUSG00000043618,EIF5AL3-PS
ENSMUSG00000097224,GM26716
ENSMUSG00000085779,ATCAYOS
ENSMUSG00000068749,PSMA5
ENSMUSG00000087451,GM12970
ENSMUSG00000026725,TNN
ENSMUSG00000025743,SDC3
ENSMUSG00000083844,UBE2D-PS
ENSMUSG00000040797,IQSEC3
ENSMUSG00000092304,GM20530
ENSMUSG00000092224,GM8815
ENSMUSG00000004939,NMRK2
ENSMUSG00000101916,GM18501
ENSMUSG00000082729,GM14845
ENSMUSG00000084197,GM9089
ENSMUSG00000103376,GM37179
ENSMUSG00000118478,GM50476
ENSMUSG00000104340,GM10522
ENSMUSG00000034958,ATCAY
ENSMUSG00000050232,CXCR3
ENSMUSG00000064246,CHIL1
ENSMUSG00000092277,GM19684
ENSMUSG00000090222,IFI203-PS
ENSMUSG00000051579,TCEAL8
ENSMUSG00000079471,MYMX
ENSMUSG00000092365,BC023719
ENSMUSG00000102187,GM7897
ENSMUSG00000092243,GM7030
ENSMUSG00000084284,TPT1-PS6
ENSMUSG00000020477,MRPS24
ENSMUSG00000082541,GM9095
ENSMUSG00000038067,CSF3
ENSMUSG00000036825,SSX2IP
ENSMUSG00000025922,GM5045
ENSMUSG00000025332,KDM5C
ENSMUSG00000045010,GM4779
ENSMUSG00000085102,1700010K24RIK
ENSMUSG00000073405,H2-T-PS
ENSMUSG00000082922,GM6939
ENSMUSG00000027649,CTNNBL1
ENSMUSG00000116389,GM49504
ENSMUSG00000079491,H2-T10
ENSMUSG00000091191,GM17334
ENSMUSG00000115604,GM7691
ENSMUSG00000043467,ZBTB37
ENSMUSG00000043155,HPDL
ENSMUSG00000047721,BOLA2
ENSMUSG00000059089,FCGR4
ENSMUSG00000115118,GM36617
ENSMUSG00000106076,GM43840
ENSMUSG00000098528,ZFP572
ENSMUSG00000106219,5830416I19RIK
ENSMUSG00000050945,ZFP438
ENSMUSG00000020105,LRIG3
ENSMUSG00000019826,ZBTB24
ENSMUSG00000107923,GM43922
ENSMUSG00000075602,LY6A
ENSMUSG00000108223,GM43933
ENSMUSG00000046774,8030474K03RIK
ENSMUSG00000107752,GM43934
ENSMUSG00000054034,TCEAL5
ENSMUSG00000107438,GM43945
ENSMUSG00000079487,MED12
ENSMUSG00000021754,MAP3K1
ENSMUSG00000030707,CORO1A
ENSMUSG00000028167,BDH2
ENSMUSG00000026390,MARCO
ENSMUSG00000020857,NME2
ENSMUSG00000106662,GM43034
ENSMUSG00000081230,GM9097
ENSMUSG00000029392,RILPL1
ENSMUSG00000104695,GM30023
ENSMUSG00000050071,BEX1
ENSMUSG00000118638,AL805980.1
ENSMUSG00000073739,GM16287
ENSMUSG00000082284,H3F3A-PS1
ENSMUSG00000086417,GM12996
ENSMUSG00000116749,GM49612
ENSMUSG00000020687,CDC27
ENSMUSG00000116763,GM41492
ENSMUSG00000116412,GM49505
ENSMUSG00000116455,GM35974
ENSMUSG00000116713,GM49613
ENSMUSG00000115871,GM49507
ENSMUSG00000036244,TBC1D21
ENSMUSG00000073961,OLFR582
ENSMUSG00000043671,DPY19L3
ENSMUSG00000115955,9530056E24RIK
ENSMUSG00000006360,CRIP1
ENSMUSG00000079428,TCEAL7
ENSMUSG00000102433,GM38050
ENSMUSG00000060807,SERPINA6
ENSMUSG00000090272,MNDAL
ENSMUSG00000028673,FUCA1
ENSMUSG00000027303,PTPRA
ENSMUSG00000009210,PRR29
ENSMUSG00000047034,ANKRD33
ENSMUSG00000113849,GM47346
ENSMUSG00000020657,DNAJC27
ENSMUSG00000103680,GM37072
ENSMUSG00000094194,IGHV5-16
ENSMUSG00000037601,NME1
ENSMUSG00000026643,NMT2
ENSMUSG00000095571,IGHV5-17
ENSMUSG00000103893,IGHV5-18
ENSMUSG00000001785,PWP1
ENSMUSG00000116882,GM49614
ENSMUSG00000027165,B230118H07RIK
ENSMUSG00000039830,OLIG2
ENSMUSG00000031839,HSBP1
ENSMUSG00000112632,GM4510
ENSMUSG00000116528,GM49508
ENSMUSG00000112387,1700021G15RIK
ENSMUSG00000085872,GM11505
ENSMUSG00000116300,GM49509
ENSMUSG00000117520,GM50064
ENSMUSG00000112482,1700025K04RIK
ENSMUSG00000102958,GM37016
ENSMUSG00000038233,GASK1A
ENSMUSG00000009350,MPO
ENSMUSG00000073960,OLFR583
ENSMUSG00000117617,GM50065
ENSMUSG00000112435,GM47965
ENSMUSG00000021032,NGB
ENSMUSG00000091228,GM20390
ENSMUSG00000075390,RPL36-PS8
ENSMUSG00000112208,GM40797
ENSMUSG00000029346,SRRD
ENSMUSG00000116007,GM4116
ENSMUSG00000082841,GM12994
ENSMUSG00000085865,GM15966
ENSMUSG00000046010,ZFP830
ENSMUSG00000026536,IFI211
ENSMUSG00000110391,GM7269
ENSMUSG00000079852,KLRA4
ENSMUSG00000073959,OLFR584
ENSMUSG00000085175,GM11423
ENSMUSG00000114007,GM48660
ENSMUSG00000113005,GM34408
ENSMUSG00000046160,OLIG1
ENSMUSG00000096144,B020004C17RIK
ENSMUSG00000020213,GLIPR1L1
ENSMUSG00000050103,AGMO
ENSMUSG00000051003,OLFR161
ENSMUSG00000062846,GM14176
ENSMUSG00000099671,GM18183
ENSMUSG00000081056,GM13998
ENSMUSG00000112466,GM29674
ENSMUSG00000116722,GM49627
ENSMUSG00000108646,OLFR162-PS1
ENSMUSG00000111961,GM47966
ENSMUSG00000078080,OLFR585
ENSMUSG00000068167,CSNKA2IP
ENSMUSG00000112832,4930484H19RIK
ENSMUSG00000035505,COX18
ENSMUSG00000086467,4930571N24RIK
ENSMUSG00000073980,GM9574
ENSMUSG00000037843,VSTM2L
ENSMUSG00000112492,GM9111
ENSMUSG00000108336,OLFR163-PS1
ENSMUSG00000058267,MRPS14
ENSMUSG00000086161,GM15389
ENSMUSG00000103890,GM28724
ENSMUSG00000118529,AC140982.1
ENSMUSG00000068252,APOL7B
ENSMUSG00000092366,GM17782
ENSMUSG00000066268,OLFR586
ENSMUSG00000073403,GM10499
ENSMUSG00000015452,AGER
ENSMUSG00000097874,C030010L15RIK
ENSMUSG00000068747,SORT1
ENSMUSG00000040867,BEGAIN
ENSMUSG00000003352,CACNB3
ENSMUSG00000092289,GM6659
ENSMUSG00000027650,TTI1
ENSMUSG00000038311,2410017I17RIK
ENSMUSG00000099816,GM28552
ENSMUSG00000116673,A630089N07RIK
ENSMUSG00000029345,TFIP11
ENSMUSG00000043773,1700048O20RIK
ENSMUSG00000112836,GM47006
ENSMUSG00000082233,GM6506
ENSMUSG00000112326,GM19624
ENSMUSG00000072717,KLRA11-PS
ENSMUSG00000108099,GM43988
ENSMUSG00000020214,GLIPR1L2
ENSMUSG00000114576,NAIP3-PS1
ENSMUSG00000080717,B230307C23RIK
ENSMUSG00000116919,GM17809
ENSMUSG00000075033,NXPE3
ENSMUSG00000019906,LIN7A
ENSMUSG00000048582,GJA3
ENSMUSG00000028139,RIIAD1
ENSMUSG00000112423,GM6333
ENSMUSG00000025436,ATP23
ENSMUSG00000071179,SERPINA16
ENSMUSG00000034037,FGD5
ENSMUSG00000019303,PSMC3IP
ENSMUSG00000000673,HAAO
ENSMUSG00000111053,GM49343
ENSMUSG00000090162,GM6808
ENSMUSG00000089667,GM15914
ENSMUSG00000098028,GM8824
ENSMUSG00000059772,SLX1B
ENSMUSG00000042429,ADORA1
ENSMUSG00000096481,GM3250
ENSMUSG00000110470,GM45723
ENSMUSG00000095817,GM3238
ENSMUSG00000028137,CELF3
ENSMUSG00000111356,RPL32L
ENSMUSG00000060131,ATP8B4
ENSMUSG00000019996,MAP7
ENSMUSG00000071195,GM10318
ENSMUSG00000102818,GM37796
ENSMUSG00000101795,GM5835
ENSMUSG00000069584,GM10272
ENSMUSG00000116341,CYP2D36-PS
ENSMUSG00000015316,SLAMF1
ENSMUSG00000030111,A2M
ENSMUSG00000111976,GM48178
ENSMUSG00000069581,TSPEAR
ENSMUSG00000037548,H2-DMB2
ENSMUSG00000037466,TEDC1
ENSMUSG00000042451,MYBPH
ENSMUSG00000101126,GM10538
ENSMUSG00000039262,PRRC2B
ENSMUSG00000039997,IFI203
ENSMUSG00000026442,NFASC
ENSMUSG00000001029,ICAM2
ENSMUSG00000050668,GPATCH11
ENSMUSG00000026991,PKP4
ENSMUSG00000085204,GM15327
ENSMUSG00000074731,ZFP345
ENSMUSG00000096131,GM9639
ENSMUSG00000001366,FBXO9
ENSMUSG00000112223,KRTAP10-10
ENSMUSG00000097254,C430042M11RIK
ENSMUSG00000083325,GM14121
ENSMUSG00000112600,GM49918
ENSMUSG00000021081,SERPINA1F
ENSMUSG00000081092,GM14128
ENSMUSG00000100457,D830032E09RIK
ENSMUSG00000117442,1810073O08RIK
ENSMUSG00000094146,GM10142
ENSMUSG00000117421,GM41639
ENSMUSG00000068129,CST7
ENSMUSG00000102934,GM38117
ENSMUSG00000112653,GM36176
ENSMUSG00000117611,GM35229
ENSMUSG00000000435,MYF5
ENSMUSG00000112170,GM9508
ENSMUSG00000117564,GM41638
ENSMUSG00000099484,GM28282
ENSMUSG00000101477,GM18448
ENSMUSG00000095970,GM19402
ENSMUSG00000117431,8430430B14RIK
ENSMUSG00000091549,GM6548
ENSMUSG00000086522,GM4473
ENSMUSG00000094120,GM3233
ENSMUSG00000103015,GM37549
ENSMUSG00000020598,NRCAM
ENSMUSG00000069583,KRTAP12-1
ENSMUSG00000087317,4930466I24RIK
ENSMUSG00000029650,SLC46A3
ENSMUSG00000107794,GM44095
ENSMUSG00000070345,HSF5
ENSMUSG00000112864,GM18596
ENSMUSG00000038147,CD84
ENSMUSG00000038793,LEFTY1
ENSMUSG00000094012,GM10024
ENSMUSG00000020715,ERN1
ENSMUSG00000086932,GM22000
ENSMUSG00000094913,GM9507
ENSMUSG00000081588,GM11661
ENSMUSG00000112037,GM48179
ENSMUSG00000112236,GM48180
ENSMUSG00000061086,MYL4
ENSMUSG00000095721,GM7137
ENSMUSG00000102878,IGHV2-8
ENSMUSG00000112380,GM9736
ENSMUSG00000096380,GM19668
ENSMUSG00000096638,IGHV2-9
ENSMUSG00000104319,IGHV5-19
ENSMUSG00000111915,GM3285
ENSMUSG00000032384,CSNK1G1
ENSMUSG00000069582,KRTAP10-4
ENSMUSG00000025400,TAC2
